PERSON ID,Source,ALT. NAMES,Label,NAME,RELATION IDS,Target,BIOGRAPHICAL INFORMATION
P3,EGYPT LUCY,,MOTHER OF,JULINA ,P4,JULINA,"Egypt Lucy was an Afro-Creole woman who labored on Egypt Estate's First gang for much of her life.

She had two primary domestic partners: Daniel, a skilled enslaved laborer who lived on Egypt, and Mason Quashe a skilled enslaved laborer who belonged to Elizabeth Anderson--the quadroon mistress of William Dorrill, Thistlewood's first employer-- and who was a regular visitor at Egypt to perform various tasks of carpentry, masonry, and even supervision of the First Gang. 

Between 1750 and her death in 1772, Egypt Lucy had three confirmed pregnancies: one in October 1754 to her daughter Julina with Daniel, the second in August of 1758 to an unnamed son (presumably also with Daniel) who died at just 5 days old, and the third in November of 1759 to a son who was named Little Quashe (presumably after his father, Mason Quashe).

In May 1760, Egypt became the wet nurse to John, the son of Egypt's housekeeper and Thistlewood. This seemed to mark the beginining of a strong and lasting friendship between not only Egypt Lucy and Phibbah, but between Egypt Lucy and Phibbah's broader social network of enslaved domestic workers. This circle included Phibbah's sister, Nancy,her daughter Accubah, an enslaved healer woman named Vine, and another enslaved domestic worker called House Franke. Together, the six women formed an agricutural co-op of sorts, pooling the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

Egypt Lucy was relatively prosperous as a enslaved business woman; such that in 1769, she along with Phibbah, and House Franke gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. EGypt Lucy would als give Thistlewood a second personal loan of 10 pounds; he would go on to repay both loans within about a year. 

Following her stint as John's wetnurse, Egypt Lucy continued to act as a care provider and parental influence for both Phibbah's children. When Phibbah and Thistlewood moved away from Egypt and left John behind, they entrusted EGypt Lucy to escort him to their newhome on Breadnut Islabd Pen for visits. Egypt Lucy also kept abreast of the day-to-day and night-to-night activities of Phibbah's daughter Accubah--including her covert fasincination and involvement in the secret Myal society.

On multiple occasions throughout the years, Egypt Lucy was chosen by her white masters to be a 'seasoner,' a role designed for mostly Afro-Creole enslaved men and women who had either been born or resided in Jamaica for extended periods of time to acclimate/'season' newly arrived Africans to their new realities. In December of 1761, after purchasing 6 new Africans from a slave trader named John Hutt, Thistlewood tasked Egpyt Lucy with being the seasoner of a young African girl included in this sale named Ogo (he would rename her Maria). In November of 1766, Ogo would give birth to her first child: a daughter named Lucy.

In July 1770, shortly following Molia's fourth escape from and return to Breadnut Island Pen, Egypt Lucy paid a visit to the pen, where she interrupted Thistlewood's attempt to punish Molia by confining her to a set of bilboes, convincing him not to.

As a field laborer, Egypt Lucy was frequently in poor health. In June of 1772, she died. Phibbah and a 12 year old John attended her funeral and burial."
P3,EGYPT LUCY,,MOTHER OF,LITTLE QUASHE,P5,LITTLE QUASHE,
P3,EGYPT LUCY,,FRIEND OF,PHIBBAH,P7,PHIBBAH,
P3,EGYPT LUCY,,FRIEND OF,NANCY,P8,NANCY,
P3,EGYPT LUCY,,FRIEND OF,HOUSE FRANKE,P10,HOUSE FRANKE,
P3,EGYPT LUCY,,FRIEND OF,VINE,P12,VINE,
P3,EGYPT LUCY,,BUSINESS PARTNER OF,PHIBBAH,P7,PHIBBAH,
P3,EGYPT LUCY,,BUSINESS PARTNER OF,HOUSE FRANKE,P10,HOUSE FRANKE,
P3,EGYPT LUCY,,BUSINESS PARTNER OF,NANCY,P8,NANCY,
P3,EGYPT LUCY,,BUSINESS PARTNER OF,COOBAH,P16,COOBAH,
P3,EGYPT LUCY,,WETNURSE OF,JOHN,P9,JOHN,
P3,EGYPT LUCY,,CAREGIVER OF/FOR,JOHN,P9,JOHN,
P3,EGYPT LUCY,,GARDENER,,,,
P3,EGYPT LUCY,,SEASONER TO,OGO,P13,OGO,
P3,EGYPT LUCY,,DOMESTIC PARTNER OF,MASON QUASHE,P25,MASON QUASHE,
P3,EGYPT LUCY,,DOMESTIC PARTNER OF,DANIEL,P42,DANIEL,
P3,EGYPT LUCY,,MOTHER OF,,P441,EGYPT LUCY'S CHILD #3,
P3,EGYPT LUCY,,FIELD GANG [FIRST],,P105,DIDO,
P3,EGYPT LUCY,,FIELD GANG [FIRST],,P134,BETTY,
P3,EGYPT LUCY,,FIELD GANG [FIRST],,P27,WANGA,
P3,EGYPT LUCY,,FIELD GANG [FIRST],,P33,ELLIN,
P3,EGYPT LUCY,,FIELD GANG [FIRST],,P30,MOUNTAIN LUCY,
P3,EGYPT LUCY,,FIELD GANG [FIRST],,P106,SARAH,
,,,,,,,
P4,JULINA,,DAUGHTER OF,EGYPT LUCY,P3,EGYPT LUCY,"Julina was born in October of 1754 on Egypt Estate. Her mother was Egypt Lucy, an enslaved and Afro-Creole member Egypt estate's first gang. Her father was Daniel, an enslaved skilled laborer who also lived on Egypt. 

In August of 1758, Julina's mother Egypt Lucy gave birth to an unnamed baby boy, Julina's brother, who died at 5 days old. The following year, in November of 1759, Egypt Lucy was sent away from Egypt to a neighboring estate called Paradise, where she gave birth to another son, Julina's second brother, who was named Little Quashe. Julina fell sick while her mother was away, but soon recovered. Little Quashe and Egypt Lucy returned to Egypt in January of 1760, where they would continue as one nuclear household.

In October of 1766, Julina would, for reasons unspecified by Thistlewood, accompany Molia to Paradise for her lying in period before she gave birth to Silvia in November of that same year.

In December of 1770, Julina became the mistress/concubine of a white man named Robert Parker, a friend of Thistlewood's. "
P4,JULINA,,SISTER OF,LITTLE QUASHE,P5,LITTLE QUASHE,
P4,JULINA,,CAREGIVER OF/FOR,MOLIA,P1,MOLIA,
P4,JULINA,,DOMESTIC PARTNER OF,,P69,MR. PARKER,
,,,,,,,
P5,LITTLE QUASHE,,SON OF,EGYPT LUCY,P3,EGYPT LUCY,"Little Quashe was born in November of 1759, the son of Egypt Lucy, a field laborer of Egypt Estate and Mason Quashe, a skilled enslaved laborer who belonged to Elizabeth Anderson--the quadroon mistress of William Dorrill, Thistlewood's first employer-- and who was a regular visitor at Egypt to perform various tasks of carpentry, masonry, and even supervision of the First Gang. He was half-brother to Julina, Egypt Lucy's first daughter. 

Like many children of his time and place, Little Quashe was frequently ill. He was cared for by his mother, as well as by his mother's close friends, Phibbah (the housekeeper of Egypt Estate), and Vine, an enslaved woman, healer and storyteller from a neighboring estate."
P5,LITTLE QUASHE,,SON OF,,P25,MASON QUASHE,
P5,LITTLE QUASHE,,BROTHER OF,JULINA,P4,JULINA,
,,,,,,,
P6,ABBA,,MOTHER OF,JOHNIE,P20,ABBA'S JOHNIE,"Abba was an enslaved African young woman, first appearing in the diary in Februaryof 1758 when she was purchased by Thistlewood from a slave trader named John Parkinson for 46 pounds. Thistlewood intended for her to be a domestic worker, setting her to train in the cookroom with Egypt's housekeeper Phibbah, then hiring her out to other white neighbors throughout the parish.

Abba would have several domestic/sexual partners over the course of the twenty eight years she appears in the diaries. The first of these was Hazat, a driver who belonged to William Mould, an owner of a neighboring plantation. Another was Cudjoe, an enslaved fieldhand who belonged to John Rickett, one of Thistlewood's friends. A third was Neptune, an enslaved man who belonged to a Savanna la Mar tavern owner and another of Thistlewood's friends, Thomas Emotson. A fourth was Lincoln, the very first enslaved person Thistlewood ever purcahsed.

Abba was unique among the many enslaved women who appear in the diairies in the sense that was extremely fertile, having a total of thirteen pregnancies over the span of twenty eight years. Ten of these resulted in live births, one in a stillbirth. Of these ten children, six (Including Johnie, Neptune, Jenny, Mary)survived their first year of life  and four survived until at least 1786, the year of Thistlewood's death and the last year of the diary records.

Abba and her children's living arrangements fluctuated usually depending upon who her current sexual/domestic partner was, but for a period of time in 1767, she and Mary, Johnie and Neptune lived with Sally, a Congo woman who Thistlewood had first purchased as a 8 or 9 year old child in 1762.

Abba was known to tell the Anansi spider stories that she had learned from her homeland alongside Vine, an enslaved domestic woman and healer from a neighboring plantation."
P6,ABBA,,MOTHER OF,MARY,P21,ABBA'S MARY,
P6,ABBA,,MOTHER OF,,P442,JENNY [ABBA'S DAUGHTER],
P6,ABBA,,MOTHER OF,,P443,NEPTUNE [ABBA'S SON],
P6,ABBA,,HOUSEMATE OF,SALLY,P17,SALLY,
P6,ABBA,,DOMESTIC PARTNER OF,,P87,HAZAT,
P6,ABBA,,DOMESTIC PARTNER OF,,P24,LINCOLN,
P6,ABBA,,DOMESTIC PARTNER OF,,P444,CUDJOE [JOHN RICKETT'S],
P6,ABBA,,DOMESTIC PARTNER OF,,P445,NEPTUNE [THOMAS EMOTSON'S],
P6,ABBA,,AFRICAN,,,#N/A,
P6,ABBA,,ANANSI STORYTELLER TO,,P12,VINE,
,,,,,,#N/A,
P7,PHIBBAH,PHIB; PHIBBA,MOTHER OF,JOHN,P9,JOHN,"Phibbah was the Afro-Creole housekeeper of Egypt Estate. She was owned by Molly Cope, the wife of John Cope, Thistlewood's employer. A prominent and influential figure among the broader enslaved communit, Phibbah often leveraged that influence to gain relative material and social benefits for herself, her children and her other loved ones.

Phibbah was very close with a sister named Nancy who lived on a neighboring plantation and very frequently visited her.

Phibbah had an unnamed enslaved husband, but this relationship was soon displaced by the sexual/domestic relationship she would strike up with Thistlewood that would last for over three decades, ending only in his death in 1786. Although he was never monogamous, Thistlewood referred to Phibbah as his ""wife"".

The diaries depict Phibbah as having three confirmed pregnancies/children. The first was a daughter named Accubah [unknown date of birth and father; also called Coobah and later Jenny Young], a stillborn boy [with John Cope, born ] and John [her son with Thistlewood who lived to the age of 20].

Phibbah had a tight knit circle of friends, most of whom were enslaved women domestic laborers. These included her sister Nancy, her daughter Accubah, domestic laborer and healer Vine, and domestic laborer House Franke. Following the birth of her son John in 1760, she also became very close friends with an enslaved field woman of Egypt estate called Egypt Lucy who served as John's wetnurse. Phibbah often visited with Egypt Lucy, cared for her son Little Quashe when he was will. She also brought Egypt Lucy into the agricultural co-op network that she had formed with her sister, daughter and other friends. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

Phibbah was a very prosperous businesswoman and in 1769, she along with Egypt Lucy, and House Franke gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independent penkeeper of a property called Breadnut Island Pen-- a loan that he would return about a year or so later. It was one of several loans she would give to them him throughout their relationship.

Phibbah outlived Thistlewood, and was granted her freedom following his death in 1786."
P7,PHIBBAH,PHIB; PHIBBA,MOTHER OF,COOBAH,P16,COOBAH,
P7,PHIBBAH,PHIB; PHIBBA,SISTER OF,NANCY,P8,NANCY,
P7,PHIBBAH,PHIB; PHIBBA,AUNT OF,,P446,DAVIE [NANCY'S SON],
P7,PHIBBAH,PHIB; PHIBBA,AUNT OF,,P447,NANCY'S DAUGHTER,
P7,PHIBBAH,PHIB; PHIBBA,DOMESTIC PARTNER OF,,P436,PHIBBAH'S HUSBAND,
P7,PHIBBAH,PHIB; PHIBBA,FRIEND OF,HOUSE FRANKE,P10,HOUSE FRANKE,
P7,PHIBBAH,PHIB; PHIBBA,FRIEND OF,VINE,P12,VINE,
P7,PHIBBAH,PHIB; PHIBBA,FRIEND OF,NANCY,P8,NANCY,
P7,PHIBBAH,PHIB; PHIBBA,BUSINESS PARTNER OF,HOUSE FRANKE,P10,HOUSE FRANKE,
P7,PHIBBAH,PHIB; PHIBBA,BUSINESS PARTNER OF,NANCY,P8,NANCY,
P7,PHIBBAH,PHIB; PHIBBA,BUSINESS PARTNER OF,COOBAH,P16,COOBAH,
P7,PHIBBAH,PHIB; PHIBBA,NURSE OF/FOR,LITTLE QUASHE,P5,LITTLE QUASHE,
P7,PHIBBAH,PHIB; PHIBBA,NURSE OF/FOR,EGYPT LUCY,P3,EGYPT LUCY,
,,,,,,#N/A,
P8,NANCY,,SISTER OF,PHIBBAH,P7,PHIBBAH,"Nancy was an Afro-Creole domestic laborer who lived on/moved between Egypt estate, as well as Paradise estate (another plantation owned by John Cope. She was the sister of Phibbah, Egypt's housekeeper, and aunt to Phibbah's two children, Accubah [also known as Coobah and later Jenny Young] and John.

The diaries confirm Nancy as having two pregnancies; one in  to a boy named Davie who fell sick snd died in 1756, and another in 1757 to a girl who was born dead.

Like Phibbah, Nancy held relative measures of material and social privilege. She held multiple 'balls' that her sister and other domestic enslaved labrers and whites attended. She was able to 'rent' out the labor of an enslaved Egypt fieldwoman named Rose to assist her in caring for Davie when he was ill. In the aftermath of Davie's death, Nancy held a ""play"" (funeral) for Davie that lasted for two days/nights.

Nancy was close friends with her sister Phibbah, as well as a broader circle of friends that included ncluded her sister Phibbah, her niece Accubah, domestic laborer and healer Vine, domestic laborer House Franke, and fieldwoman Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom (notably, Nancy's).
"
P8,NANCY,,BUSINESS PARTNER OF,PHIBBAH,P7,PHIBBAH,
P8,NANCY,,BUSINESS PARTNER OF,HOUSE FRANKE,P10,HOUSE FRANKE,
P8,NANCY,,BUSINESS PARTNER OF,COOBAH,P16,COOBAH,
P8,NANCY,,BUSINESS PARTNER OF,EGYPT LUCY,P3,EGYPT LUCY,
P8,NANCY,,FRIEND OF,PHIBBAH,P7,PHIBBAH,
P8,NANCY,,FRIEND OF,HOUSE FRANKE,P10,HOUSE FRANKE,
P8,NANCY,,FRIEND OF,VINE,P12,VINE,
P8,NANCY,,FRIEND OF,EGYPT LUCY,P3,EGYPT LUCY,
P8,NANCY,,AUNT OF,COOBAH,P16,COOBAH,
P8,NANCY,,AUNT OF,JOHN,P9,JOHN,
P8,NANCY,,MOTHER OF,,P446,DAVIE [NANCY'S SON],
P8,NANCY,,MOTHER OF,,P447,NANCY'S DAUGHTER,
,,,,,,#N/A,
P9,JOHN,MULATTO JOHN,SON OF,PHIBBAH,P7,PHIBBAH,"John was the mixed race son of Phibbah, the housekeeper of Egypt Estate, and Thomas Thistlewood, Egypt's overseer and the later owner of Breadnut Island Pen. Although he assumed paternal and financial support for him, Thistlewood never directly acknowledged paternity of John in the diaries, either referring to him as ""Phibbah's child"" or ""Mulatto John"".

John was born in April of 1760 in a difficult birth, assisted by a midwife from Salt River estate called Old Daphne and House Franke, his mother's close friend and business partner. In the days following his birth, John was nursed by an Egypt fieldwoman named Egypt Lucy, who would go on to become one of his mother's closest friends, business partners, and a caregiver for John when his parents moved away from him.

Phibbah secured a promise from Thistlewood in October of 1761 that John would be granted his freedom and in May of 1762, he fulfilled that promise. During the majority of his childhood, the freed John was sent to live in a boarding school for mixed race children where he learned how to read and write, was eventually apprenticed to become a carpenter at the age of 15, and allowed to join in Jamaica's 'colored' militia. One of his childhood friends was James, the son of a mixed race domestic laborer named Little Mimber on a neighboring plantation.

John was not diligent in his apprenticeship, often absenting from work for days on end. He was frequently in debt, and involved in domestic disputes. John lived to the age of twenty, then died in September of 1780 of a sudden, putrid stomach infection that turned his fingernails black and shredded his intestines. Phibbah was beside herself with grief, later suspecting that he had been poisoned as a result of a love triangle gone horribly wrong. The death struck a heavy blow to the broader enslaved community, many of whom came to his burial. John’s half-sister Accubah came to stay with their mother for several weeks afterwards. "
P9,JOHN,MULATTO JOHN,BROTHER OF,COOBAH,P16,COOBAH,
P9,JOHN,MULATTO JOHN,FRIEND OF,,P448,JAMES [LITTLE MIMBER'S SON],
P9,JOHN,MULATTO JOHN,NEPHEW OF,,P8,NANCY,
P9,JOHN,MULATTO JOHN,DOMESTIC PARTNER OF,,,,
,,,,,,#N/A,
P10,HOUSE FRANKE,,FRIEND OF,PHIBBAH,P7,PHIBBAH,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
P10,HOUSE FRANKE,,FRIEND OF,EGYPT LUCY,P3,EGYPT LUCY,
P10,HOUSE FRANKE,,FRIEND OF,NANCY,P8,NANCY,
P10,HOUSE FRANKE,,FRIEND OF,VINE,P12,VINE,
P10,HOUSE FRANKE,,BUSINESS PARTNER OF,PHIBBAH,P7,PHIBBAH,
P10,HOUSE FRANKE,,BUSINESS PARTNER OF,COOBAH,P12,VINE,
P10,HOUSE FRANKE,,BUSINESS PARTNER OF,NANCY,P8,NANCY,
P10,HOUSE FRANKE,,BUSINESS PARTNER OF,EGYPT LUCY,P3,EGYPT LUCY,
P10,HOUSE FRANKE,,NURSE OF/FOR,PHIBBAH,P7,PHIBBAH,
P10,HOUSE FRANKE,,DOMESTIC PARTNER OF,,P35,PARADISE JACK,
,,,,,,#N/A,
P11,OLD DAPHNE,,MIDWIFE TO,PHIBBAH,P7,PHIBBAH,"Old Daphne was an enslaved 'grannie' midwife who resided on Salt River Estate. She was called to preside over at least fivw different childbirths over the course of about a decade, including Phibbah, the housekeeper of Egypt estate and three enslaved fieldwomen named Jenny, Anjaw, Mountain Lucy and Sarah."
P11,OLD DAPHNE,,MIDWIFE TO,,P104,JENNY,
P11,OLD DAPHNE,,MIDWIFE TO,,P166,ANJAW,
P11,OLD DAPHNE,,MIDWIFE TO,,P30,MOUNTAIN LUCY,
P11,OLD DAPHNE,,MIDWIFE TO,,P106,SARAH,
,,,,,,#N/A,
P12,VINE,,NURSE OF/FOR,PHIBBAH,P7,PHIBBAH,"Vine was a full blooded African or an Afro-Creole domestic laborer who lived on a neighboring plantation called Cabaritta Estate owned by one of Thistlewood's friends, Samuel Say. She was the daughter of at least one enslaved African parent, a man named Old Pompey who belonged to another of Thistlewood's friends named Jeremiah Meyer and lived on his estate of Meylersfield. When Vine's mother died in 1764, the enslaved community held a ""play"" (a communal funeral) in her honor.

Vine was involved in various sexual/domestic partnerships over the course of several years, including one with a white man named MacArthur who was employed on the Roaring River estate, and another with a driver named Sam who lived on the property of a Mrs. Sarah Bennett (who would lster sell thistlewood Breadnut Island Pen).

The diary never describes Vine as having any children of her own. However, she was a regular presence in the lives of her friends' children, especially that of her friend Phibbah [the housekeeper of Egypt Estate) and Phibbah's children John and Accubah, and Egypt Lucy's child Little Quashe.

Vine was a very close friend of Phibbah, Phibbah's sister Nancy, an enslaved domestic woman from Paradise Estate named House Franke, and an enslaved field woman from Egypt Estate named Egypt Lucy. Vine, Phibbah and John were relatively privileged as domestic laborers, given leave by their masters to attend various social events througout the parish such as horse races. In a significant departure from most other enslaved people in Jamica who were forced to walk everywhere as their chief means of transportation, Vine owned her own horse named Powder Tail.

Vine was a skilled healer and regularly attended to the sickbeds of enslaved men, women and children when they were ill--especially when they were friends or her friends' children.

Vine was a skilled teller of Anansi spider stories, and frequently came to Egypt in the evenings to tell them to enslaved people and whites alike, sometimes alongside other enslaved Africans like Abba."
P12,VINE,,FRIEND OF,PHIBBAH,P7,PHIBBAH,
P12,VINE,,FRIEND OF,EGYPT LUCY,P3,EGYPT LUCY,
P12,VINE,,FRIEND OF,NANCY,P8,NANCY,
P12,VINE,,FRIEND OF,HOUSE FRANKE,P10,HOUSE FRANKE,
P12,VINE,,ANANSI STORYTELLER TO,,,#N/A,
P12,VINE,,DOMESTIC PARTNER OF,,P114,MR. MCARTHUR,
P12,VINE,,DOMESTIC PARTNER OF,,P181,SAM,
P12,VINE,,DAUGHTER OF,,P36,OLD POMPEY,
P12,VINE,,DAUGHTER OF,,P242,VINE'S MOTHER,
,,,,,,#N/A,
P13,OGO,MARIA,IGBO ,,,#N/A,"Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy. After renaming her ""Maria,"" one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her 

"
P13,OGO,MARIA,MOTHER OF,LUCY,P14,LUCY,
P13,OGO,MARIA,MOTHER OF,,P449,RACHAEL [OGO'S DAUGHTER],
P13,OGO,MARIA,MOTHER OF,,P450,"OGO'S SON [DEAD, 1770]",
P13,OGO,MARIA,NURSE OF/FOR,ABASSE,P39,ABASSE,
P13,OGO,MARIA,HOUSEMATE OF,EGYPT LUCY,P3,EGYPT LUCY,
P13,OGO,,HOUSEMATE OF,JULINA,P4,JULINA,
P13,OGO,,HOUSEMATE OF,LITTLE QUASHE,P5,LITTLE QUASHE,
P13,OGO,MARIA,SEASONEE OF,EGPYT LUCY,P3,EGYPT LUCY,
P13,OGO,MARIA,CAREGIVER OF/FOR,,,#N/A,
P13,OGO,MARIA,DOMESTIC PARTNER OF,SOLON,P26,SOLON,
P13,OGO,MARIA,DOMESTIC PARTNER OF,,P233,OGO'S SWEETHEART,
P13,OGO,MARIA,DOMESTIC PARTNER OF,,P355,CUBBENNA,
,,,,,,#N/A,
P14,LUCY,LITTLE LUCY,DAUGHTER OF,OGO,P13,OGO,"Little Lucy was born in November of 1766 to Ogo, an ""Ebo"" young woman and fieldhand and Solon, an African young man and fieldhand on Paradise Estate, both purcahsed by Thistlewood in 1761. Her mother was assisted in the delivery by an enslaved grannie named Paradise Quasheba.

Little Lucy would have two siblings: a brother born in 1770 who died at just seven days old of tetanus, and a younger sister, Rachael, born in 1771 and and who would die in 1775 at four years old.

Little Lucy was often sick, and subject to frequent injuries over her life, but she often was able to recover. In 1777, she became extremely ill of stomach and neck pains for several days before falling into convulsions and dying at the age of ten--a milestone in a time and place when most enslaved children died before reaching the age of two. Solon dug her grave. On the evening of her burial, a moon/lunar rainbow appeared in the sky. "
,,,,,,#N/A,
P15,NANNY,,AFRICAN,,,#N/A,"Nanny was an enslaved African young woman purchased by John Cope on Thistlewood's behalf in July of 1761 in Kingston, alongside two other African men: Solon and Caesar, who were also most likely her shipmates. She was presumed to be 21 years old.

Nanny had just one daughter, born in August of 1766 ""in the height of bad weather"" at a neighboring estate called Paradise. Nanny was assisted in the birth by an enslaved grannie named Paradise Quasheba. Her daughter was named Little Phibbah.

In the Spring of 1768, Nanny was entrusted with caring for Molia's (renaned Coobah) only child Silvia while Molia was hired out to labor on a neighboring plantation. Silvia fell sick while her mother was away and died at 15 months old.

Little Phibbah was often ill througnout her life, and in 1771 she died at age of five after a long and painful bout of stomach worms.

Nanny would be one of the enslaved people on Breadnut Island Pen who would go on to outlive Thistlewood following his death in 1786. In a 1787 appraisal of his human property she was estimated to be ""about 47 years old"" and valued at 60 pounds. "
P15,NANNY,,MOTHER OF,LITTLE PHIBBAH,P22,LITTLE PHIBBAH,
P15,NANNY,,CAREGIVER OF/FOR,SILVIA,P2,SILVIA,
P15,NANNY,,SHIPMATE OF,,P26,SOLON,
P15,NANNY,,SHIPMATE OF,,P451,CAESAR,
,,,,,,#N/A,
