PERSON ID,NAME,OTHER NAMES,ETHNICITY/NATIONALITY,PHYSICAL DESCRIPTORS,LOCATION(S),LOCATION IDS,BIOGRAPHICAL INFORMATION
P11,OLD DAPHNE,,?,,SALT RIVER ESTATE,L4,"Old Daphne was an enslaved 'grannie' midwife who resided on Salt River Estate. She was called to preside over at least fivw different childbirths over the course of about a decade, including Phibbah, the housekeeper of Egypt estate and three enslaved fieldwomen named Jenny, Anjaw, Mountain Lucy and Sarah."
P12,VINE,,MOST LIKELY AT LEAST HALF AFRICAN,,CABARITTA ESTATE,L8,"Vine was a full blooded African or a first generation Afro-Creole domestic laborer who lived on a neighboring plantation called Cabaritta Estate owned by one of Thistlewood's friends, Samuel Say. She was the daughter of at least one enslaved African parent, a man named Old Pompey who belonged to another of Thistlewood's friends named Jeremiah Meyer and lived on his estate of Meylersfield. When Vine's mother died in 1764, the enslaved community held a ""play"" (a communal funeral) in her honor.

Vine was involved in various sexual/domestic partnerships over the course of several years, including one with a white man named MacArthur who was employed on the Roaring River estate, and another with a driver named Sam who lived on the property of a Mrs. Sarah Bennett (who would lster sell thistlewood Breadnut Island Pen).

The diary never describes Vine as having any children of her own. However, she was a regular presence in the lives of her friends' children, especially that of her friend Phibbah [the housekeeper of Egypt Estate) and Phibbah's children John and Accubah, and Egypt Lucy's child Little Quashe.

Vine was a very close friend of Phibbah, Phibbah's sister Nancy, an enslaved domestic woman from Paradise Estate named House Franke, and an enslaved field woman from Egypt Estate named Egypt Lucy. Vine, Phibbah and John were relatively privileged as domestic laborers, given leave by their masters to attend various social events througout the parish such as horse races. In a significant departure from most other enslaved people in Jamica who were forced to walk everywhere as their chief means of transportation, Vine owned her own horse named Powder Tail.

Vine was a skilled healer and regularly attended to the sickbeds of enslaved men, women and children when they were ill--especially when they were friends or her friends' children.

Vine was a skilled teller of Anansi spider stories, and frequently came to Egypt in the evenings to tell them to enslaved people and whites alike, sometimes alongside other enslaved Africans like Abba."
P13,OGO,MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)",L1; L3,"Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P14,LUCY,LITTLE LUCY,AFRICAN/AT LEAST HALF EBO,,"PARADISE ESTATE (1766)

EGYPT ESTATE (1766-1767)

BREADNUT ISLAND PEN (1767-1777)",L2; L1; L3,"Little Lucy was born in November of 1766 to Ogo, an ""Ebo"" young woman and fieldhand and Solon, an African young man and fieldhand on Paradise Estate, both purcahsed by Thistlewood in 1761. Her mother was assisted in the delivery by an enslaved grannie named Paradise Quasheba.

Little Lucy would have two siblings: a brother born in 1770 who died at just seven days old of tetanus, and a younger sister, Rachael, born in 1771 and and who would die in 1775 at four years old.

Little Lucy was often sick, and subject to frequent injuries over her life, but she often was able to recover. In 1777, she became extremely ill of stomach and neck pains for several days before falling into convulsions and dying at the age of ten--a milestone in a time and place when most enslaved children died before reaching the age of two. Solon dug her grave. On the evening of her burial, a moon/lunar rainbow appeared in the sky. "
P15,NANNY,,AFRICAN,,"KINGSTON

EGYPT ESTATE

BREADNUT ISLAND PEN",L19; L1; L3,"Nanny was an enslaved African young woman purchased by John Cope on Thistlewood's behalf in July of 1761 in Kingston, alongside two other African men: Solon and Caesar, who were also most likely her shipmates. She was presumed to be 21 years old.

Nanny had just one daughter, born in August of 1766 ""in the height of bad weather"" at a neighboring estate called Paradise. Nanny was assisted in the birth by an enslaved grannie named Paradise Quasheba. Her daughter was named Little Phibbah.

In the Spring of 1768, Nanny was entrusted with caring for Molia's (renaned Coobah) only child Silvia while Molia was hired out to labor on a neighboring plantation. Silvia fell sick while her mother was away and died at 15 months old.

Little Phibbah was often ill througnout her life, and in 1771 she died at age of five after a long and painful bout of stomach worms.

Nanny would be one of the enslaved people on Breadnut Island Pen who would go on to outlive Thistlewood following his death in 1786. In a 1787 appraisal of his human property she was estimated to be ""about 47 years old"" and valued at 60 pounds. 

"
P16,COOBAH,ACCUBBAH; JENNY YOUNG; PHIBBAH'S COOBAH,?,,PARADISE ESTATE,L2,"Accubah, also known as 'Coobah' was an enslaved Afro-Creole girl born to Phibbah, the housekeeper of Egypt Estate and an unknown father sometime during the 1750s.

Throughout her childhood, she mostly lived apart from her mother on Paradise, a neighboring sugar estate that was also owned by their owners John and Mary (Molly) Copeand served as a domestic servant to Molly Cope. Accubah was later sent to a school for mixed race children at an early age to learn to read and write.

In addition to being frequently separated from her mother, Accubah was frequently the target of sexual predation from white men, including John Cope and a white laborer on Egypt named Sam Matthews who attempted to rape her in Egypt's boiling house in before being thwarted, ironically enough, by Thistlewood himself. She was one of the only enslaved girls/women in the diary who he never forced himself upon sexually.

Accubah had a number of sexual partners over the years who were mostly either free mixed race men of color, or white men. Three of the mixed race men were described as being her 'husband': Mulatto Davie in 1761, Nagua in 1766 (who also appeared to have grown up with Accubah on the estate), and Jimmy Stewart in 1776.

Accubah was an accomplished seamstress, who put her skills to good use in taking on paid sewing jobs for Thistlewood, and also sewing intricate messages into the dresses and bodices of her fellow enslaved women.

At some point during the late 1760's Accubah became involved in the cult society of Myalism; an Afro-Jamaican religion that according to what some scholars have argued was “the first religious organization of Africans in Jamaica” that “addressed itself to the entire slave society."" Myal was organized around the premise that enslaved people could inure themselves to the many dangers and predations from white

Accubah was very close with her mother PhIbbah, and with her mother Phibbah's friends: Accubah's aunt Nancy, an enslaved domestic woman who also lived at Paradise named House Franke, an enslaved domestic woman and healer named Vine from Cabaritta estate and an enslaved field woman from Egypt named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

Accubah was very fond of hearing Anansi spider tales told by her mother's close friend, an enslaved healer from Cabarittta Estate named Vine. She made regular trips to her mother's later residence of Breadnut Island Pen to hear them under the cover of night.

Accubah traveled abroad to England twice in her lifetime; once in 1767 and once in the spring of 1771, as a domestic to the Cope's two daughters. On her second trip, she was baptized into the Church of England and christened 'Jenny Young', a name she would go by for the rest of her life after returning to Jamaica.

Accubah had seversl children over the course of her life, but only one of whom would survive into childhood: Little Nancy (presumably named after her Aunt).

Like her mother, Accubah/Jenny Young would go onto outlive Thistlewood past his death in 1786, although it is unknown whether or not she would ever receive her freedom like her mother did."
P17,SALLY,,CONGO,4'1 INCHES HIGH (1762),BREADNUT ISLAND PEN,L3,"Sally first appears in the diary in April of 1762 in a purchase that Thistlewood made from one his white associates/friends Jeremiah Meyler. He described her as a ""Congo girl"" of no more than ""9 or 10 years old"" and standing at just 4'1 inches tall. He paid 42 pounds cash for her.

Sally was originally intended and trained to be a seamstress/domestic laborer, but for the next twenty two years, she would put up regular and varied shows of resistance to every job, assignment or position that Thistlewood tried to force upon her. Even after he eventually relegated her to his field gang, Sally regularly stole food and other possessions from both white and endlsved Black people throughout the neighborhood. Over the course of her twenty two years in Jamaica, she ran away at least twelve different times.

Sally was the victim of many acts of sexual assault and terrorism from various white men. (including Thistlewood) that mutilated her genitals, which probably attributed to the fact that she never had any children, nor was confirmed as ever being pregnant. Like many field laborers in Jamaica, she was often ill from yaws (which resulted in the amputation of one of her toes), and from venereal diseases. 

In November of 1784, Thistlewood sold Sally to anther trader, who transported her off the island altogether and to an unknown location."
P18,PARADISE QUASHEBA,,?,,PARADISE ESTATE,L2,"Paradise Quasheba was an enslaved 'grannie' (midwife) who lived on Paradise Estate. She attended at least eleven different enslaved women's births between 1759-1766: Egypt Lucy, Nancy, Rosanna, Moll, Agnes, Jenny, Wonga, Molia, Ogo, Nanny and Eve--the majority of whose infants survived both a 9 day observing period and several years into their childhoods. "
P19,PEGGY,,AFRICAN,"5'1 INCHES HIGH

SCAR ON LEFT CHEEK

BACK AND BELLY FULL OF COUNTRY MARKS
HOLES THROUGH HER NOSE (1765)

'TT' BRAND ON HER RIGHT SHOULDER

SCARS FROM REPEATED FLOGGINGS",BREADNUT ISLAND PEN,L3,"Peggy was an African young woman who first appeared in the diary in 1765 when Thistlewood attended a 'slave scramble' aboard a Guinea ship and purchased her alongside 9 other enslaved Africans (5 young men and 4 other young women in total). These 9 Africans were Peggy's shipmates: Syphox, Cudjoe, Chub, Bristol, Jmmy, Myrtilla, Phoebe, Franke and Damsel). Thistlewood presumed her to be ""about 16 or 17 years old.""

Peggy was assigned to field labor for the next twenty one years. She was often ill of yaws. Thistlewood also speculated that at times, she showed signs of being ""disordered in her senses,"" although he doesn't specify why/how.

If Peggy ever had a husband/domestic partner, Thistlewood never knew or recorded it.  She never bore any children, nor was she ever described as ever being pregnant. For several years, she shared a household with her fellow field gang member Molia [Coobah] and Molia's daughter, Silvia. Follwing Silvia's death, Peggy continued to share a household with Molia until 1774 when Thistlewood, frustrated with her repeated escaps attempts, sold her to a trader who trafficked her to Georgia.

Peggy was caught engaging in geophagia (eating dirt) in 1774 and was flogged for it (notably for the first time). An accident involving a driver and a whip caused her right eye to be severely mutilated in June of 1780. She was one of the enslaved community who outlived Thistlewood following his death in 1786. In a 1787 appraisal, she was estimated to be about 39 years old, described as ""distempered,"" ""blind in one eye"" and valued at 10 pounds. "
P20,ABBA'S JOHNIE,,AT LEAST HALF AFRICAN,,"EGYPT ESTATE

BREADNUT ISLAND PEN",L1; L3,"Johnie was born in 1764 to Abba, an enslaved African domestic laborer that Thistlewood first purchased in 1758. His father may have been Neptune, an enslaved man belonging to a white man named Emotson, one of Thistlewood's friends who also owned a tavern in Savanna la Mar and was described as Abba's ""husband"" around the time of his birth. He had three surviving siblings who: an elder sister named Mary, a younger brother named Neptune and a younger sister named Jenny. 

Johnie lived to the age of seven (a milestone for a child in Jamaica at that time). In January of 1771, he became deathly ill, suffering from stmach cramps and falling into ""faints""/""fits"" (seizures). Vine, an enslaved domestic laborer and healer from the neighboring Cabaritta estate came to ""bleed"" and tend to Johnie. Three days later Thistlewood himself sent Abba with Johnie to the parish Bay to be seen and treated by a white physician, but Johnie died on the trip back home. Abba was inconsolable with grief. Johnie was buried that same evening near his mother's house. Numerous enslaved people from surrounding estates and pens, including Vine, attended his funeral, singing over him.

Several months later in July 1771, Abba was still in mourning  for Johnie, engaging in the practice of 'throwing water' and participating in communal songs and drumming in his honor."
P21,ABBA'S MARY,,AT LEAST HALF AFRICAN,,BREADNUT ISLAND PEN,L2,"Mary was born in January 1762, the first daughter/child of Abba, an African young woman and Neptune, an enslaved man belonging to a white man named Emotson, one of Thistlewood's friends who also owned a tavern in Savanna la Mar. She had three surviving siblings: Johnie, Neptune, and Jenny.

In March/April of 1763, Mary contracted smallpox; though she ultimately recovered from the disease itself, she was permanently blinded. 

The diary describes Mary as having one husband/domestic partner on a neighboring sugar estate called Three Mile River named Quacoo with whom she had two children: one daughter born in 1784 who died at 1 week old, aand another daughter born in 1785 named Prue who was still alive by the time of Thistlewood's death inn 1786.

Like her mother, Mary outlived Thistlewood. Inan appraisal of the complete inventory of all his human property, her value was estimated to be just 1 pound."
P22,LITTLE PHIBBAH,,AT LEAST HALF AFRICAN,,"PARADISE ESTATE

EGYPT ESTATE

BREADNUT ISLAND PEN",L2; L1; L3,"Little Phibbah was born in August 1766 at Paradise Estate in ""the height of bad weather"" to an enslaved African woman named Nanny and an unknown father. A midwife named Paradise Quasheba was in attendance at her birth.

Little Phibbah was frequently ill and cared for by her mother. When she was five years old, she became very badly afflicted with stomach worms. After being treated repeatedly by her mother, Thistlewood and white physicians over the course of several days, she died on September 9 1771. Two enslaved men named Lincoln and Abasse dug her grave and buried her the next evening."
P23,SHIPMATE,,AFRICAN,,BLUEFIELDS BAY,L11,"In November of 1770, an enslaved ""Ebo"" woman named Molia made her seventh esacpe from Breadnut Island Pen. She stayed missing for eleven days before being caught at a place called Bluefields Bay and brought back to the Pen. At some point during this recovery Molia told someone that she had gone to Bluefields Bay for a specific purpose; this purpose was to see a person she desccribed as her ""shipmate"". 

This unnamed/unidentified person was Molia's shipmate with whom she had, presumably, survived hte Middle Passage voyage at least nearly a decade earlier and with whom she had maintained a close and intimate relationship. It is the first and on;y time that this Shipmate would ever be mentioned in the diary."
